model_id,conf_id,model_name,date_time,train_loss,val_loss,epochs,val_idx,val_acc,triplet_val_acc,test_acc,triplet_test_acc,test_pool_acc,val_pool_acc,test_mae,val_mae,test_pool_mae,val_pool_mae
229,122,conf_id_122_model_1,22-11-2023_19:56:19,121.297142028809,159.417373657227,35,0,0.565420560747664,0.718455241146111,0.314606741573034,0.548744683552339,0.570224719101124,0.808411214953271,1.16573033707865,0.5,0.429775280898876,0.191588785046729
230,122,conf_id_122_model_2,22-11-2023_21:36:41,127.709007263184,173.253662109375,35,1,0.570093457943925,0.694874532835024,0.330056179775281,0.540833492033263,0.594101123595506,0.822429906542056,1.02949438202247,0.495327102803738,0.405898876404494,0.177570093457944
231,123,conf_id_123_model_1,23-11-2023_12:00:55,116.091171264648,164.403030395508,35,0,0.574766355140187,0.708170167319331,0.300561797752809,0.568050530057767,0.560393258426966,0.789719626168224,1.13904494382022,0.5,0.439606741573034,0.210280373831776
232,123,conf_id_123_model_2,23-11-2023_13:39:24,125.028732299805,157.598327636719,35,1,0.532710280373832,0.718939124243503,0.268258426966292,0.528923062273853,0.589887640449438,0.827102803738318,1.12780898876405,0.518691588785047,0.410112359550562,0.172897196261682
233,131,conf_id_131_model_1,27-11-2023_19:25:31,231.294586181641,145.532501220703,15,0,0.757009345794392,0.752002135611319,0.25,0.568844029708627,0.5,0.808411214953271,1,0.476635514018692,0.5,0.191588785046729
234,131,conf_id_131_model_2,27-11-2023_20:10:18,93.3834762573242,108.776481628418,15,1,0.803738317757009,0.819451859761523,0.25561797752809,0.522646480035549,0.50561797752809,0.873831775700935,0.991573033707865,0.364485981308411,0.49438202247191,0.126168224299065
235,132,conf_id_132_model_1,28-11-2023_11:44:53,94.5112228393555,108.529388427734,15,0,0.794392523364486,0.822477309129738,0.25,0.557100234875897,0.5,0.897196261682243,1.5,0.247663551401869,0.5,0.102803738317757
236,132,conf_id_132_model_2,28-11-2023_12:27:36,135.634490966797,128.329086303711,15,1,0.752336448598131,0.782256629293469,0.25,0.586761251825049,0.48876404494382,0.845794392523364,1.51123595505618,0.322429906542056,0.51123595505618,0.154205607476636
237,133,conf_id_133_model_1,28-11-2023_14:10:58,110.641212463379,124.872077941895,15,0,0.775700934579439,0.794588821644713,0.127808988764045,0.67135624960325,0.537921348314607,0.873831775700935,1.32865168539326,0.355140186915888,0.462078651685393,0.126168224299065
238,133,conf_id_133_model_2,28-11-2023_14:53:47,98.9872665405273,117.734268188477,15,1,0.785046728971963,0.803310786756853,0.248595505617978,0.643274296959309,0.529494382022472,0.878504672897196,1.46488764044944,0.331775700934579,0.470505617977528,0.121495327102804
